STATE,ST,2015,2016,2017,2018,2019,2020,,,,,,,
ALASKA,AK,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
ALABAMA,AL,0.4161,0.4396,0.4311,0.3065,0.0000,0.0000,,,,,,,
ARKANSAS,AR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
ARIZONA,AZ,0.3377,0.3536,0.2681,0.3132,0.3509,0.3429,,,,,,,
CALIFORNIA,CA,5.2070,4.1464,4.1605,4.2557,4.4367,3.9629,,,,,,,
COLORADO,CO,0.0022,0.1283,0.1367,0.1279,0.1306,0.1398,,,,,,,
CONNECTICUT,CT,0.2877,0.4632,0.2613,0.3252,0.3255,0.3586,,,,,,,
DISTRICT OF COLUMBIA,DC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
DELAWARE,DE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
FLORIDA,FL,1.5090,0.8460,1.2263,1.4518,1.0956,0.6544,,,,,,,
GEORGIA,GA,0.7459,0.7512,1.0412,0.8345,1.1991,2.0974,,,,,,,
HAWAII,HI,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
IOWA,IA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
IDAHO,ID,0.1286,0.1387,0.1357,0.1402,0.1376,0.1362,,,,,,,
ILLINOIS,IL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
INDIANA,IN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
KANSAS,KS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
KENTUCKY,KY,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
LOUISIANA,LA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
MASSACHUSETTS,MA,0.2093,0.2331,0.2350,0.2050,0.1890,0.2151,,,,,,,
MARYLAND,MD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
MAINE,ME,3.0549,2.7429,2.8017,2.6465,1.9720,2.1550,,,,,,,
MICHIGAN,MI,1.1509,1.2077,1.2632,1.2674,1.1652,0.8152,,,,,,,
MINNESOTA,MN,1.1894,1.1489,1.2097,0.8657,0.3382,0.2866,,,,,,,
MISSOURI,MO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
MISSISSIPPI,MS,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
MONTANA,MT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
NORTH CAROLINA,NC,1.1380,1.1712,1.3965,1.2142,1.2173,1.0096,,,,,,,
NORTH DAKOTA,ND,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
NEBRASKA,NE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
NEW HAMPSHIRE,NH,2.3673,2.3381,2.2588,1.8933,1.6923,1.0731,,,,,,,
NEW JERSEY,NJ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
NEW MEXICO,NM,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
NEVADA,NV,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
NEW YORK,NY,0.6832,0.7808,0.8053,0.6550,0.5849,0.5939,,,,,,,
OHIO,OH,0.1026,0.1080,0.1037,0.0998,0.0896,0.0748,,,,,,,
OKLAHOMA,OK,0.0000,0.0000,0.0000,0.0023,0.0000,0.0000,,,,,,,
OREGON,OR,0.2940,0.3128,0.2424,0.3075,0.3057,0.3159,,,,,,,
PENNSYLVANIA,PA,0.0038,0.0018,0.0002,0.0003,0.0003,0.0001,,,,,,,
RHODE ISLAND,RI,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
SOUTH CAROLINA,SC,1.5687,1.5087,1.5897,1.5239,1.5471,1.4642,,,,,,,
SOUTH DAKOTA,SD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
TENNESSEE,TN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
TEXAS,TX,0.3370,0.2023,0.1256,0.2348,0.1512,0.0932,,,,,,,
UTAH,UT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
VIRGINIA,VA,2.1841,2.1709,2.0514,2.2464,1.8865,1.5719,,,,,,,
VERMONT,VT,0.6513,0.6640,0.6218,0.6117,0.5415,0.5844,,,,,,,
WASHINGTON,WA,0.4829,0.5063,0.4434,0.5062,0.4603,0.4223,,,,,,,
WISCONSIN,WI,1.0941,0.7758,0.8377,0.7603,0.8602,0.7476,,,,,,,
WEST VIRGINIA,WV,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
WYOMING,WY,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
